Incident Number w/year,Year of Incident,Call (911) Problem,Type of Incident,Type  Location,Type of Property,Reporting Area,Division,Sector,Year of Occurrence,Month of Occurence,Person Involvement Type,Victim Type,Victim Gender,UCR Disposition,Modus Operandi (MO),Weapon Used,NIBRS Crime,NIBRS Crime Category,NIBRS Crime Against,Zip Code,City,State
062888-2022,2023,11V - BURG MOTOR VEH,BMV,Outdoor Area Public/Private,Motor Vehicle,4081,SOUTHWEST,410,2022,April,Victim,Individual,Male,Suspended,UNK SUSP BROKE COMPS VEH WINDOW AND TOOK PROP WITHOUT CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75115,DALLAS,TX
063590-2020,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Parking (Business),Other,4261,SOUTHWEST,450,2020,April,Registered Owner,Individual,Unknown,Suspended,UNKNOWN SUSPECT TOOK COMP'S VEHICLE WITHOUT PERMISSION.,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75224,DALLAS,TX
067580-2019,2023,09/01 - THEFT,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Restaurant/Food Service/TABC Location,Resturant/Food Service/Tabc Location,3058,NORTHWEST,530,2019,April,Victim,Individual,Male,Suspended,SUSP STOLE PROP FROM COMP W/O CONSENT.,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
176543-2021,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)","Highway, Street, Alley ETC",Motor Vehicle,2028,CENTRAL,150,2021,September,Victim,Individual,Male,Suspended,UNKN SUSP CUT OUT AUTO PART FROM UNDER MITSUBISHI,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
170238-2021,2023,PSE/09 - THEFT,BMV,"Highway, Street, Alley ETC",Motor Vehicle,2213,SOUTHEAST,330,2021,September,Victim,Individual,Female,Suspended,UNK SUSP ENTERED VICTIM'S VEHICLE AND TOOK PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75217,DALLAS,TX
157077-2018,2023,11V - BURG MOTOR VEH,BMV,Apartment Complex/Building,Motor Vehicle,1181,CENTRAL,140,2018,July,Victim,Individual,Female,Suspended,UNKNOWN SUSP ENTERED COMPS VEHICLE AND TOOK PROP W/O CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75206,DALLAS,TX
041404-2021,2023,11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Parking (Business),Other,3104,NORTHWEST,540,2021,March,Victim,Individual,Female,Suspended,SUSP ENTERED THE COMP'S VEHICLE AND ATTEMPTED TO TAKE THE VEHICLE,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75235,DALLAS,TX
217237-2021,2023,11V - BURG MOTOR VEH,BMV,Parking (Business),Parking Lot,6012,NORTH CENTRAL,650,2021,December,Victim,Individual,Male,Suspended,UNK SUSP ENTERED COMPS VEHICLE AND TOOK PROPERTY WITHOUT CONSENT.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75225,DALLAS,TX
065448-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,3067,NORTHWEST,520,2021,April,Victim,Individual,Male,Suspended,"UNK SUSP BROKE INTO LOCKED VEH,REMOVED PROPERTY W/O PERMISSION",Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
217946-2019,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Parking Lot,6018,NORTHEAST,230,2019,October,Victim,Individual,Male,Suspended,UNK SUSP STOLE LISTED VEHICLE,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75218,DALLAS,TX
179495-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,2061,CENTRAL,130,2021,October,Victim,Individual,Female,Suspended,UNK SUSP ENTERED VEHICLE W/O DAMAGE & RMOVED PROPERTY W/O CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75202,DALLAS,TX
