Incident Number w/year,Year of Incident,Call (911) Problem,Type of Incident,Type  Location,Type of Property,Reporting Area,Division,Sector,Year of Occurrence,Month of Occurence,Person Involvement Type,Victim Type,Victim Gender,UCR Disposition,Modus Operandi (MO),Weapon Used,NIBRS Crime,NIBRS Crime Category,NIBRS Crime Against,Zip Code,City,State
270941-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Outdoor Area Public/Private,1055,NORTHEAST,240,2017,November,Victim,Individual,Female,Suspended,COMP LEFT VEH AT LISTED LOC AND RETURNED TO FIND IT STOLEN,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75238,DALLAS,TX
097663-2022,2023,09V-01 UUMV JUST OCRD,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",Single Family Residence - Occupied,Other,4435,SOUTHEAST,350,2022,May,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS PROP W/O CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75253,DALLAS,TX
015577-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Parking Lot,6012,NORTH CENTRAL,650,2017,January,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMP'S VEHICLE WITHOUT PERMISSION/UUMV,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75225,DALLAS,TX
012324-2022,2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL (AGG),Bar/NightClub/DanceHall ETC.,Other,1090,NORTHEAST,230,2022,January,Victim,Individual,Male,Suspended,SUSPS POINTED HANDGUNS AT COMP AND TOOK PROPERTY BY FORCE,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75218,DALLAS,TX
228924-2021,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Parking Lot (All Others),Motor Vehicle,2062,CENTRAL,130,2021,December,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT REMOVED PROPERTY FROM THE LISTED VEHICLE,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75201,DALLAS,TX
004880-2023,2023,11R/01 - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Residence,Apartment Complex/Building,4527,NORTHEAST,210,2023,January,Victim,Individual,Male,Suspended,UNKNOWN SUSPS TOOK LISTED PORPERTY WITHOUT CONSENT,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75231,DALLAS,TX
251329-2018,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Outdoor Area Public/Private,Outdoor Area Public/Private,4364,SOUTH CENTRAL,740,2018,November,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT TOOK COMP VEHICLE WITHOUT CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75232,DALLAS,TX
030967-2023,2023,PSE/09 - THEFT,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Apartment Complex/Building,Residential Property Occupied/Vacant,1027,NORTH CENTRAL,640,2023,February,Victim,Individual,Female,Suspended,UNK SUSPECT STOLE PACKAGE FROM APARTMENT MAILROOM W/O CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75251,DALLAS,TX
022655-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Medical Facility,2072,CENTRAL,130,2017,January,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMP'S VEHICLE W/O PERMISSION,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75202,DALLAS,TX
109499-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (Apartment),Motor Vehicle,2009,CENTRAL,150,2017,May,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75204,DALLAS,TX
127623-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,1004,NORTH CENTRAL,620,2023,July,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT BROKE WINDOW  & RANSACKED VEHICLE W/O CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75248,DALLAS,TX
030824-2023,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,3058,NORTHWEST,530,2023,February,Victim,Individual,Male,Suspended,UNK SUSPECT STOLE REAR LICENSE PLATE FROM VEHICLE W/O CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
014235-2022,2023,09 - THEFT,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Gas or Service Station,Outdoor Area Public/Private,1021,NORTH CENTRAL,640,2022,January,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMP'S IPAD WITHOUT THE COMP'S CONSENT.,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75240,DALLAS,TX
035281-2023,2023,41/11R - BURG RES IN PROGRESS,CRIM MISCHIEF > OR EQUAL $100 < $750,Single Family Residence - Vacant,Residential Property Occupied/Vacant,1254,SOUTHEAST,330,2023,March,Victim,Individual,Male,Suspended,UNK SUSP DAMAGED PROPERTY.,Handgun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,75217,DALLAS,TX
224418-2021,2023,09 - THEFT,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Single Family Residence - Occupied,Apartment Complex/Building,2062,CENTRAL,130,2021,December,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMP'S RING DOORBELL W/O CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75201,DALLAS,TX
042965-2023,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Outdoor Area Public/Private,Motor Vehicle,4165,SOUTHWEST,440,2023,March,Victim,Individual,Female,Suspended,UNK SUSPECT STOLE BACK LICENSE PLATE FROM VEHICLE W/O CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75224,DALLAS,TX
223461-2022,2023,09V-01 UUMV JUST OCRD,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking (Business),None,1240,SOUTHEAST,320,2022,December,Registered Owner,Individual,Male,Suspended,SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75227,DALLAS,TX
161314-2017,2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL (AGG),Single Family Residence - Occupied,Residential Property Occupied/Vacant,9604,NORTHEAST,250,2017,July,Victim,Individual,Female,Suspended,"SUSP FORCED ENTRY, DEMANDED PROPERTY AT GUNPOINT",Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75243,DALLAS,TX
191495-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Gas or Service Station,Parking Lot,2016,CENTRAL,150,2017,August,Victim,Individual,Female,Suspended,UNK SUSP TOOK THE COMP VEHICLE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75204,DALLAS,TX
044086-2023,2023,PSE/11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,"Highway, Street, Alley ETC",Motor Vehicle,1217,SOUTHEAST,310,2023,March,Victim,Individual,Male,Suspended,PUNCH OUT DOOR LOCK OF 2006 GMC PICK-UP DAMAGE STEERING COLUMN,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75227,DALLAS,TX
043681-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,1052,NORTH CENTRAL,650,2023,March,Victim,Individual,Male,Suspended,UNK SUSP BROKE REAR WINDOW ON CARGO DOOR & STOLE PROP W/O CNSNT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75230,DALLAS,TX
216813-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,6065,CENTRAL,130,2021,December,Victim,Individual,Male,Suspended,UNKN SUSP,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75201,DALLAS,TX
092783-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Parking Lot,8807,SOUTHWEST,430,2017,April,Victim,Individual,Male,Suspended,UNKNOWN SUSP TOOK COMP'S VEHICLE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75236,DALLAS,TX
245957-2017,2023,11R/01 - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Single Family Residence - Occupied,Residential Property Occupied/Vacant,3083,NORTHWEST,510,2017,October,Victim,Individual,Male,Suspended,UNK SUSP BROKE INTO COMPS HOME AND TOOK PROP W/O CONSENT,Other,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75235,DALLAS,TX
020317-2022,2023,DASF-DIST ACTIVE SHOOTER FOOT,ASSAULT (AGG) -AGAINST SECURITY OFF (AGG),Gas or Service Station,Other,3100,NORTHWEST,510,2022,February,Victim,Individual,Male,Suspended,SUSP FIRED SEVERAL ROUNDS AT COMP WASHINGTON,Handgun,AGG ASSAULT - NFV,ASSAULT OFFENSES,PERSON,75247,DALLAS,TX
201282-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,1083,NORTHEAST,210,2022,November,Victim,Individual,Male,Suspended,UNK SUSP BROKE WINDOWS & ENTERED CARS & STOLE PROPERTY W/O CNSNT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
098329-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,2016,CENTRAL,150,2022,May,Victim,Individual,Female,Suspended,UNK SUSP ENTERED THE COMPLAINANT VEHICLE AND REMOVED PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
032752-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Parking (Business),Motor Vehicle,3124,NORTHWEST,510,2022,February,Victim,Individual,Male,Suspended,UNKN SUSPECT REMOVED PROPERTY FROM THE LISTED VEHICLE,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75207,DALLAS,TX
008240-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Apartment Parking Lot,Motor Vehicle,9608,NORTHEAST,250,2022,January,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT REMOVED CATALYTIC CONVERTER FROM VEH W/O CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75243,DALLAS,TX
235673-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Parking Lot,1084,NORTHEAST,210,2017,October,Victim,Individual,Male,Suspended,UNK SUSP STOLE COMP'S VEHICLE.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75231,DALLAS,TX
014892-2022,2023,PSE/09 - THEFT,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Outdoor Area Public/Private,Medical Facility,4365,SOUTH CENTRAL,750,2022,January,Victim,Individual,Female,CBA (Over Age 17),SUSPECT TOOK THE COMPLAINANT PROPERTY WITHOUT PERMISSION.,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75241,DALLAS,TX
028633-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Parking Lot (All Others),Motor Vehicle,3092,NORTHWEST,510,2022,February,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT DAMAGED & REMOVED PROPERTY FROM LISTED VEHICLE,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75235,DALLAS,TX
164167-2022,2023,20R - ROBBERY (REPORT)+1HR,ROBBERY OF INDIVIDUAL (AGG),Single Family Residence - Occupied,Other,4181,SOUTH CENTRAL,710,2022,September,Victim,Individual,Male,Suspended,"SUSPS POINTED POINTED GUN, TIED COMP UP, & TOOK PROP W/OUT CONSEN",Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75216,DALLAS,TX
276188-2017,2023,11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (Apartment),Motor Vehicle,3130,NORTHWEST,510,2017,December,Victim,Individual,Male,Suspended,"UNK SUSP POPPED BACK WINDOW LATCH, BROKE STEERING COLUMN.",Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75207,DALLAS,TX
142935-2017,2023,32 - SUSPICIOUS PERSON,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (Apartment),Motor Vehicle,4514,CENTRAL,120,2017,June,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMP'S VEH W/O CONSENT,Vehicle,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75204,DALLAS,TX
079484-2022,2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL (AGG),Parking Lot (Park),Parking Lot,6023,NORTHEAST,230,2022,May,Victim,Individual,Male,Suspended,SUSP DISPLAYED FIREARM AND TOOK COMP'S VEHICLE.,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75218,DALLAS,TX
281866-2017,2023,11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Apartment Parking Lot,Apartment Complex/Building,4552,NORTHWEST,530,2017,December,Victim,Individual,Female,Suspended,UNK SUSP DAMAGED COMPS IGNITION AND DRIVER DOOR LOCK.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75220,DALLAS,TX
126015-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Apartment Parking Lot,Parking Lot,4185,SOUTHWEST,440,2017,June,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT STOLE COMPL. VEHICLE,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75211,DALLAS,TX
224277-2022,2023,PSE/09 - THEFT,THEFT OF MATERIAL ALUM/BRNZE/COPPER <$20K PC31.03(e4F),Outdoor Area Public/Private,None,4218,SOUTH CENTRAL,720,2022,December,Victim,Individual,Female,Suspended,UNKN SUSP REMOVED PROPERTY FROM FENCED BACKYARD.,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75216,DALLAS,TX
242068-2018,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Commercial Property Occupied/Vacant,Motor Vehicle,3001,NORTHWEST,530,2018,November,Victim,Individual,Female,Suspended,UNK SUSP(S) STOLE COMPL'S LISTED VEH. BY UNK MEANS.,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75063,DALLAS,TX
066743-2023,2023,PSE/11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Parking (Business),Motor Vehicle,3110,NORTHWEST,510,2023,April,Victim,Individual,Male,Suspended,"COMP'S VEHICLE DOOR, STEERING COLUMN, AND IGNITION SWITCH DAMAGED",Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75247,DALLAS,TX
098424-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Motor Vehicle,3058,NORTHWEST,530,2017,May,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMP'S VEHICLE W/O CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75220,DALLAS,TX
200880-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Apartment Parking Lot,Motor Vehicle,4254,SOUTHWEST,430,2017,September,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT TOOK COMP MOTORCYCLE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75236,DALLAS,TX
020204-2023,2023,PSE/09 - THEFT,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Apartment Complex/Building,Apartment Complex/Building,4423,NORTH CENTRAL,610,2023,February,Victim,Individual,Male,Suspended,UNKN SUSP ENTERED RESIDENCE AND REMOVED PROPERTY W/O PERMISSION,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75287,DALLAS,TX
119948-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Parking Lot (Apartment),Parking Lot,2080,CENTRAL,150,2017,May,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMP VEHICLE WITHOUT CONSENT. NFI,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75226,DALLAS,TX
026241-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,"Highway, Street, Alley ETC",Motor Vehicle,4008,SOUTHWEST,420,2022,February,Victim,Individual,Female,Suspended,SUSPECT TOO COMPS PK TRUCK WITHOUT CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75212,DALLAS,TX
109225-2022,2023,DASV-DIST ACTIVE SHOOTER VEH,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Apartment Parking Lot,Parking Lot,4262,SOUTHWEST,450,2022,June,Victim,Individual,Female,Suspended,UNKN SUSP DAMAGED COMP'S VEHICLE,Handgun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,75224,DALLAS,TX
093661-2017,2023,09V-01 UUMV JUST OCRD,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Apartment Complex/Building,2208,SOUTHEAST,350,2017,April,Victim,Individual,Female,CBA (Over Age 17),UNK SUSP TOOK VICTIM'S VEHICLE WITHOUT HER PERMISSION,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75217,DALLAS,TX
002429-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,2004,CENTRAL,140,2023,January,Victim,Individual,Female,Suspended,COMPLINANT'S VEHICLE ENTERED AND ITEMS REMOVED W/O PERMISSION,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
219105-2021,2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL (AGG),Outdoor Area Public/Private,Other,2110,SOUTHEAST,340,2021,December,Victim,Individual,Male,Suspended,UNK SUSPS USED GUNS TO TAKE PROP FROM COMP W/O CONSENT,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75215,DALLAS,TX
228142-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,1081,NORTH CENTRAL,650,2022,December,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT DAMAGED & REMOVED PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75225,DALLAS,TX
028266-2023,2023,11R - BURG OF RES,BURGLARY OF HABITATION -NO FORCED ENTRY,Apartment Residence,Apartment Complex/Building,4135,SOUTHWEST,410,2023,February,Victim,Individual,Female,Suspended,UNK SUSP ENTERED COMP HOME AND TOOK PROP W/OUT CONSENT,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75203,DALLAS,TX
219102-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Parking (Business),Motor Vehicle,1141,CENTRAL,140,2022,November,Victim,Individual,Female,Open,UNKN SUSP REMOVED FRONT LICENSE PLATE OFF FORD.,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75214,DALLAS,TX
220679-2021,2023,20R - ROBBERY (REPORT)+1HR,ROBBERY OF INDIVIDUAL (AGG),Apartment Parking Lot,Motor Vehicle,1031,NORTHEAST,250,2021,December,Victim,Individual,Male,Suspended,2 UNKNOWN SUSP TOOK COMPS PROPERTY BY FORCE,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75243,DALLAS,TX
278799-2017,2023,11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,"Highway, Street, Alley ETC",None,2001,CENTRAL,120,2017,December,Victim,Individual,Male,Suspended,ATTEMPTED UUMV OF COMP VEHICLE,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75204,DALLAS,TX
013453-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Outdoor Area Public/Private,Motor Vehicle,6000,NORTH CENTRAL,620,2023,January,Victim,Individual,Male,Suspended,UNKN SUSP ENTERED LOCKED VEHICLE W/O DAMAGE REMOVED PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75252,DALLAS,TX
108704-2017,2023,11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Parking Lot (Apartment),Parking Lot,1177,NORTHEAST,220,2017,May,Victim,Individual,Female,Suspended,"UNK SUSP SMASHED DRIVER WINDOW COMPS VEH, RANSACKED INTERIOR",Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75228,DALLAS,TX
046067-2022,2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL (AGG),Single Family Residence - Occupied,Residential Property Occupied/Vacant,4202,SOUTHWEST,430,2022,March,Victim,Individual,Male,Suspended,UNKN B/M POINTED GIN & TOOK COMP'S VEHICLE.,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75211,DALLAS,TX
200616-2022,2023,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Single Family Residence - Occupied,Residential Property Occupied/Vacant,2162,SOUTHEAST,340,2022,November,Victim,Individual,Male,Suspended,SUSP(S) ENTERED COMP RESIDENCE AND REMOVED PROP W/O CONSENT,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75215,DALLAS,TX
265782-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Parking Lot,1093,NORTHWEST,520,2017,November,Victim,Individual,Male,Suspended,UNKNOWN PERSON(S) TOOK COMPLAINANTS VEHICLE BY UNKNOWN MEANS.,Unknown,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75225,DALLAS,TX
223116-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Apartment Parking Lot,Motor Vehicle,1160,CENTRAL,140,2022,December,Victim,Individual,Female,Open,UNK SUSP STOLE CATALYTIC CONVERTER FROM VEHICLE W/O CONSENT,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75206,DALLAS,TX
041523-2023,2023,PSE/11V - BURG MOTOR VEH,CRIM MISCHIEF > OR EQUAL $100 < $750,Apartment Complex/Building,Motor Vehicle,2058,CENTRAL,130,2023,March,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT BROKE DRIVER SEAT BACK WINDOW W/O CONSENT,Handgun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,75202,DALLAS,TX
035089-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,3077,NORTHWEST,510,2023,February,Victim,Individual,Male,Suspended,UNKN SUSP CUT PICK-UP BED TARP REMOVING TOOLS W/O PERMISSION,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75247,DALLAS,TX
269485-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Parking Lot (All Others),Motor Vehicle,4228,SOUTH CENTRAL,710,2017,November,Victim,Individual,Male,Suspended,UNK SUSPECT TOOK COMPS VEHICLE WITH OUT PERMISSION.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75216,DALLAS,TX
066922-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Parking Lot,6012,NORTH CENTRAL,650,2017,March,Victim,Individual,Male,Suspended,UUMV,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75225,DALLAS,TX
149969-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Parking (Business),Motor Vehicle,4347,SOUTH CENTRAL,740,2022,August,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT TOOK COMPS VEHICLE W/O PERMISSON,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75232,DALLAS,TX
162625-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Motor Vehicle,2123,CENTRAL,150,2017,July,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMP'S VEH W/O PERMISSION.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75215,DALLAS,TX
069448-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Apartment Complex/Building,9601,NORTHEAST,250,2022,April,Victim,Individual,Male,Suspended,SUSP TOOK COMP'S VEHICLE WITH KEYS W/O CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75243,DALLAS,TX
229568-2022,2023,41/20 - ROBBERY - IN PROGRESS,ROBBERY OF INDIVIDUAL,Hotel/Motel/ETC,Apartment Complex/Building,9603,NORTHEAST,250,2022,December,Victim,Individual,Male,Suspended,SUSP ROBBED PHONE FROM COMP,Personal Weapons (Hands-Feet ETC),ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75243,DALLAS,TX
042768-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking Lot (All Others),Motor Vehicle,2002,CENTRAL,140,2023,March,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT ENTERED AND REMOVED PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
